date,developerResponse,review,rating,isEdited,userName,title,scam_related
2022-08-20 15:05:27,"{'id': 31585032, 'body': 'We are sorry that you think that the reviews are not real. Please send us a message on badoo.com/feedback, and we’ll sort this out for you. Remember to contact us using your registered email address to speed things up!', 'modified': '2022-08-22T06:57:42Z'}","After submitting a honest/negative review the other day, the developers have flooded the review section with fake reviews. One such review the user stated he met the love of his life 3 minutes after downloading the app and ""lived happily ever after"". 😂 This review was posted on Friday. DO NOT pay for premium services. After paying for the services you will no longer receive matches and you'll be prompted to upgrade yet again to a Premium+ service. Total joke. I went from getting 4-5 likes a day to ZERO once I upgraded to premium. Now, they want me to pay for Premium+ to get more likes. The app is filled with fake profiles, about 80% of all profiles are promoting porn sites, another 10-15% are profiles from men in Santo Domingo pretending to be women trying to get money out of desperate men, then maybe another 10% are real profiles. If you're serious about meeting REAL people, try Tinder or Bumble, wayyyy less fake profiles and ZERO porn promotions. Also to the developer, before you respond with your carbon copy response, try addressing the issues here instead of hiding behind a copy and paste reply that u use for all negative reviews. Also, stop it with the fake reviews, you're not fooling anyone. I will be contacting Apple in regards to a refund for being swindled, and I'll also mention the sleuth of fake reviews on this page.",1,False,AlmightyEye,Total Scam,True
2024-05-07 00:14:27,"{'id': 43783821, 'body': ""Thanks for taking the time to share your feedback with us. At Badoo, we value authenticity and don't tolerate fake profiles on our platform. That's why we've introduced Photo Verification to make our community authentic. If you have any questions or need help, reach out to us at badoo.com/feedback or on our social media channels."", 'modified': '2024-05-08T12:27:23Z'}",Reason I say it’s a scam. Here goes. First off there is so many paywalls to talk to someone. Meanwhile they allow fake profiles so you don’t feel like there’s not enough people on the app. Second and worst thing is scammers stealing photos and posing as other people from foreign countries. I don’t know why I have so many likes from foreign that say they live in my area then they tell you they live in the phillipines. Like come on badoo. This is unacceptable made me pay for a chat conversation that went no where. People like you but guess what you can’t find out because there’s a pay wall. If this thing is about finding a match why is this app so corporate and greedy. Then they will have an automatic response as to why I left a bad feedback. Badoo your thieves In disguise. And not only that I sent a message to certain people to leave me alone for asking me money and I get a warning for telling these people off. Badoo called me 5 years old in email saying only people that are immature say rude things. I’m like being asked for Money isn’t rude ??? The world we live in now a days this company doesn’t want you to find anyone they want you to find them And pay them MONEY !!! Give me money. Well provide fake hope but give me MONEY!!,1,False,KingOfApps1,Scam of a dating app,True
2024-06-04 01:19:30,"{'id': 44386719, 'body': ""Hey there, we'd love to look into this issue for you. Please can you contact us at badoo.com/feedback so we can do so? You can also message us on our social media (look for @badoohelp!)"", 'modified': '2024-06-05T07:42:17Z'}","Sharp decline in the past year and a half. Nearby is bugged showing the same profiles, Encounter stack incidentally shows profiles that aren’t under Nearby and conveniently removes them from the latter after right swiping. Its upper hand over other dating apps is its ability to view and message profiles in a limited capacity. Between the surge in AI profiles and a cohort of Philippine-based profiles suspiciously looking for relationships predominantly in USA, its compromised the organic flow of the app as your local stack is inundated by users from the Philippines. I would suggest they start locking foreign locations behind any of the several subscription models available — ideally a win for its user base by fostering more domestic users while capitalizing on an additional source of revenue.  

That said, for a rather lowkey app, I’ve found the most success over the years with this surpassingly so. Perhaps adding likable blurbs to profiles might just be the next big move as it seems to have lead the top 2 dating apps to success. Weed out the fake AI Asian profiles especially, revamp the UI/UX to be more simplistic … maybe more of a base can be established.",3,False,Hiatuse,Needs work,True
2021-08-07 05:36:31,,"I have tried other dating apps and they all charge for various things and then you pay but they need to see the same people from other apps and so it’s almost like a big circle between all the apps. Other apps also have tons of fake profiles, some are good and some are horrible.

This dating app is truly a hidden gem that I almost want to keep a secret. Their profiles are legit and I have yet to find a scammer or fake profile. They also offer a ton of communication choices for free just for trying the app and then even after the free trial there’s still plenty of opportunity to communicate with someone you like. There is a huge range of variety in profiles and I have not found a duplicate yet. The  profiles have lots of ethnic choices, location choices etc. 

This app is definitely worth the time it takes to fill out the short profile!",5,False,Reliable Services,Best App Ever!,True
2019-11-24 22:51:01,"{'id': 12079280, 'body': ""We are excited to let you know that we have had great success stories! Users who have found dates, friends, their soulmate, married and even built a family. We have 450 million users, so we are confident that there is someone for everyone. Don't give up just yet, we have our fingers crossed for you! Good things always take time."", 'modified': '2019-11-27T08:43:11Z'}","As far as the app itself there is only one issue there are plenty of fake profiles that are not photo verified and a lot of them just have pictures and no information. And sometimes the app shows me people that are nowhere near my location. 

The real issue is the people that use the app. 
I noticed a lot of reviews saying that men are the ones that are playing and doing dumb things on this app. BUT. There are a lot of women who are as well. There are that like me and when there is one that I match with and I engage in a conversation with them, they either never respond, or they’ll respond, they talk for a bit and then they stop. Why are you liking my profile if your just gonna ghost me? But then they’ll say that they’re looking for something serious (interesting). There are also a lot of thirst traps on here that just post sexy photos of themselves to get men to follow them on Instagram and boost their already extremely high egos. 

The reason why I downloaded this app is because I got a lot going on right now and it’s hard to meet women with my current situation. I assumed downloading this app would make things easier but it didn’t. I’m gonna try a few more times and if it still doesn’t work then I’m uninstalling. This is nothing against the developers of the app or the app itself, you guys are awesome. There are a lot of cool features on here. But likeI said before the app itself is cool. It’s just the people.",3,False,Dajourantonio,App is cool it’s just the people on the app,True
2019-03-13 17:47:34,"{'id': 7729012, 'body': ""We're so sorry that you're experiencing this issue. We would love to help you resolve this. Please contact us on badoo.com/feedback, and we will look into this for you. Remember to contact us using your registered email address to speed things up."", 'modified': '2019-03-14T10:32:50Z'}","There’s  just too many fake profiles . Someone I met over a year ago on here  had deleted this app . He & I have kept in contact ever since we met on here . He contacted me last wk & we talked . This past wknd I was in the LOCAL search and came upon his profile . I messaged him asking what he was doing in HOBART since he lives in Palatine . He asked me what was I talking about , that he’s been home all wknd & hadn’t left his area . Someone hacked / stole his profile . Not very happy with that .!!   It happened to me on another paying site . They had changed my users name & password , I wasn’t able to get into my account til I realized the site had sent an email about some changes . They had replaced all my photo with another women in a bikini on a yacht & auto charged $73 to my credit card . It happens !! There has to be something about these catfish , fakes & scammers",4,False,Summerlov,Too MANY FAKES ON HERE,True
2021-03-24 00:56:41,"{'id': 21868782, 'body': 'Hey there, Oh no we are sorry to hear this. Our payment plans are subscription-based meaning they will automatically renew themselves once they run out. If you would like us to look into this for you please reach out to us on @BadooHelp with your registration details and we can look into this for you💜', 'modified': '2021-03-25T16:06:58Z'}","I signed up for a 1 month trial and canceled the next day. Not even 30 days later, they charged my bank account almost $64 dollars and claimed that I never cancelled. The worst part is that they REFUSE TO REFUND YOUR MONEY! If you go to any rating websites and research them, you will see that they have a VERY low rating, and are notorious for doing the same thing to others. It’s not worth the risk anyways, because half of the “members” on that site are spammers aka cam girls. The rest are packed full of issues lol.

Update: To Badoos response - that’s a bunch of crap. Your “support” did nothing but tell me that they wouldn’t refund me for the money you stole and to kick rocks. Clearly from other peoples reviews, I can see that I’m not alone in this. The only positive reviews are clearly fake accounts. I am not letting this go. I am currently getting as many people as I can together that you’ve burned, so we can put our heads together as a team and figure out what to do about this. You have truly burned the wrong guy.",1,False,Jared Marl,BUYER BEWARE!! They will STEAL YOUR $$!!,True
2023-11-09 11:39:09,"{'id': 40129237, 'body': ""Our systems will quickly identify suspicious behaviour, and we have a team of moderators who work 24/7 to keep any fake profiles off Badoo. We also count on the community's support—if something doesn't feel right, please report it, and our team will review it. 💪"", 'modified': '2023-11-14T14:42:34Z'}","I don't understand how this app gets such high ratings? Fake ratings/reviews as well? Based on the demographical region ""I"" chose, nearly 80% plus profiles are obviously fake. Somehow spam generated -random profile names that obviously don't match the photo (race/ethnicity) or profile names with random letters such as ""asdflkjh"".  The remaining 20% are users trying to promote their social media, a phishing scam, or inactive profiles. Just a handful of profiles are actually real (of whom, good luck with responses as I'm sure they've caught on and deleted this app). Also beware: Even when chatting with some of these ""real"" profiles, take note of their unusual responses and behavior (completely random questions, answers thrown off topic, or neglecting to answer simple basic questions). I report and block more profiles then swipes on this app. Yet, the developers have either done nothing or possibly employ people to generate fake profiles as some reviewers have noted.",1,False,MACSIDE,Too Many Fake Spam Phishing Profiles,True
2023-05-09 04:20:08,"{'id': 36904172, 'body': 'Hi! There are several reasons why you may see people from other cities: Members who have voted for you while visiting your location will still be shown. Once you’ve voted on all the members in your area, our system will automatically find other members from places slightly further away from your location. Hope this helps 💜', 'modified': '2023-06-03T21:33:58Z'}","I spent hours on Badoo matching with girls. At first I was happy because it felt like I was actually meeting people but every girl that I met that I spent time talking to was thousands and thousands of miles away even though they were supposed to be in my area I feel like Badoo pays women to text to make the site seem real: it’s like a carrot and a stick. It gives you just enough to make you keep spending money and keep spending time, but finally realize you will never catch the carrot that you’re looking for. My conclusion is that this site is a scam just like all of the others if you find luck. you. Seriously if you find luck even thousands of thousands of miles away, I’m happy for you. But I don’t think that any of this is real and I won’t be able to let you know for a few more months as I will have to go across the country to meet post to meet in my area. To all of you. Good luck.",1,False,ajeeeezy,First impression was great the rest was bad,True
2020-03-23 05:56:13,,"I like the Latinas. There are plenty of cute Latinas young and mature, slim and thick. 
It works well in NY, NJ metro areas and Tampa FL. Wish there were more of these cuties using the app in Philly!  I met a nice lady in Fl. Classy and stylish. Would like to date her. The app functions pretty well. I wish I knew how to delete matches without reporting them. I just leave uninteresting matches on a list indefinitely. It seems maybe some users have figured out how to cheat the location function on their profiles. Profiles indicate another user maybe within 100 miles of me.  Actually, they inform me they are on a different continent. It is also nice to know who has visited my profile.  Update- The hits keep on coming!",5,False,Chrissy O!,Latinas galore! Can send pics too!,True
2023-12-19 05:55:12,"{'id': 40797706, 'body': ""We work hard to keep a database of genuine, high-quality members, and our moderation team works 24/7 to spot any malicious profiles. We also have a Photo Verification system to prevent fake members from using the app. However, if you're suspicious about a profile, please report them, and we'll check them immediately."", 'modified': '2023-12-20T10:28:35Z'}","As the title indicates, Badoo is the worse of all the dating apps out there. The amount of fake profiles i come across on here is mind boggling! Literally half the users i come across are advertising some blatantly fake snapchats and it’s not even close to looking like a real profile. The quality control on the app is poor at best.

Also, please let us filter out transgender women. I am a heterosexual male and it’s disturbing how many trans women have messaged me when i clearly state I’m straight and prefer women. Please make a feather to block messages from anyone who isn’t out sexual preference. I love all humans but i am not looking to date or meet a biological man on a dating app. 

Also, please make it easier to acquire coins. The price for coins is already ridiculous but i used to be able to watch videos to earn coins. Seems that feature is gone. Or maybe it’s targeted. Either way it’s unfair.",1,False,jmills1226,Worst of all the dating apps,True
2021-04-21 02:39:35,"{'id': 22394267, 'body': ""Thanks so much for your kind words and constructive feedback. It's great to have you on board and we love hearing from our community. We'd love to hear more about your ideas if you'd like to reach out to us at badoo.com/feedback!"", 'modified': '2021-04-22T10:21:55Z'}","Ive been using Badoo for almost two years and it's been a wonder with connecting with real people. Has there ever been once when I seen a fake profile or a scamming issue with my chats.
I love how this app has more personalized settings to whatever the patron is searching for. I appreciate the effort in including all minority communities and the awareness of the app's ""love (or friendship) has no boundaries"". Despite my lack of communication and social awareness, using Badoo has brought me the courage to speak with a diverse community.

I'd have to say though like any business, it still needs to tweak its compatibility into something more broad ranged. Like a personal background checks.",4,False,Co0lguy2,Great app. Needs to upgrade into a better/personalized network.,True
2018-09-13 05:03:40,"{'id': 5054552, 'body': ""Sorry to hear this! Most profiles on Badoo are genuine. Unfortunately, some people use our product maliciously. Please report any suspicious profiles and we'll check them immediately. \n\nWe do not tolerate rude or inappropriate behaviour on Badoo. If you experience any negative comments or behaviour, please do report this to us."", 'modified': '2018-09-14T18:34:09Z'}","Hey ladies!!!! Beware this “dating site”, there are too many males who are either scammers, phishing, bisexual men who want sex with a woman and a man at the same time, gay men looking for a “wife”, in name only, to conceal their homosexuality, and sexual deviants who will leave you sexually explicit comments. I was “warned”, aka SCOLDED, by the staff at Badoo for replying to an extremely perverse comment with a scathing diatribe to its writer. I was threatened with deletion of my account if I was “rude or abusive” to any other prescribers ever again. I was also told, in a juvenile and snotty manner that “abusive language is how you date in the fifth grade, not as adult”. HMMM, so it’s perfectly acceptable for someone to send me a very offensive message but if I retaliate in kind with a written tell-off I’m the problem. I did not swear, use vulgar language or insinuate that physical injury would occur yet I was scolded, by message, like a child.
Yes men, I’m aware you are assaulted with inappropriate content from women as well.",1,False,kittyzmom,Abusive Language Policies,True
2021-05-25 05:57:50,"{'id': 23029458, 'body': ""It is indeed free to use Encounters to match with users - but you can also message them without spending anything too! Users that you have matched with do not need to pay to send you a message. If you find that you aren't receiving many responses, feel free to send us a DM on social media @BadooHelp and we'll help you out!"", 'modified': '2021-05-26T18:16:23Z'}","Any function higher than matching writhing someone is blocked by a pay wall. You can’t see who sent you a like without paying, can’t be at the top of someone’s list without paying, can’t even make your account invisible without paying. I’ve seen people complain about the amount of inactive accounts on here and it’s just because you have to pay to hide your account. It’s so dumb. Most people I’ve matched with don’t say anything and I’m assuming because you have to pay to get messages through. I’ve had many people try to start conversations with me with no luck because it’s like they don’t get any of my messages, nor do I get there’s. I could test it out but I’m not going to. It feels more like a scam than a dating app, which most are, and honestly Im a little tired of it.",2,False,yes 10 times was taken,Basically pay to use,True
2020-06-06 08:06:31,,"The number one reason I really love is app is that it actually works & it’s not that expensive to use when purchasing tokens! I try many other dating app outer & well most of them just want to money of there male users by forcing you to buy credits or time in order to make a connection (pod, okcupid, just to name a few) which is very unfair, because as soon as you communicate with the other person you realize that there’s either no connection! Well by that time app has already taken you money!  The sad part about all this other scam dating apps out there that they will have robots trying to lure you in with fake profiles!

But not here, that’s an other reason I love this app most of the users are verified & you can meet ppl from all around the world too! Which a lot of other apps won’t let you! 

This app help me a lot in every aspect of dating & communicate with woman’s & I was lucky to find the love of my life with out breaking the bank!

Well I hope this review help you in your mission to find that special someone in you life, Best Of Luck!",5,False,Resident Evil 1 still rules,It’s an awesome app,True
